品目	標準原価
P0A513200	1180
P0A513201	723.73
P0A513202	1320
P0A513500	790
P0A514201	9108.63
P0A514700	1060
P0A517400	7472
P0A517900	20252
P0A517913	29313
P0A518000	11513
P0A518002	21269
P0A518400	3565
P0A519700	7687
P0A519803	2234
P0A520600	4259
P0A525406	1590.247
P0A525600	1824
P0A526100	7909
P0A526104	14529
P0A527000	13608
P0A527001	5614
P0A527500	2806
P0A527800	4283
P0A527900	925
P0A531600	47649
P0A532000	25447
P0A532001	11237
P0A532002	11371
P0A532003	11362
P0A532006	25482
P0A532007	14156
P0A532008	23537
P0A532009	24087
P0A532513	2656
P0A532515	2857
P0A532516	2797
P0A532517	2771
P0A532519	2732
P0A532520	2738
P0A533100	7848
P0A533200	3820
P0A533900	24803
P0A536703	17153
P0A536800	22353
P0A537200	18594
P0A537300	29692
P0A537400	11021
P0A537403	9667
P0A537404	10103
P0A537600	84027
P0A537700	8928
P0A538600	60297
P0A538601	57695
P0A538604	54969
P0A539200	4168
P0A539300	20338
P0A539303	10906.88
P0A539304	16834.268
P0A539400	3092
P0A539404	3069.179
P0A543300	10589
P0A543400	7602
P0A543500	6098
P0A543600	7379
P0A543601	8694
P0A544000	111326
P0A544001	122652
P0A544300	16506
P0A544400	16964
P0A544401	28900
P0A544802	10800
P0A544803	5013.452
P0A544815	4977.883
P0A544822	7914
P0A544900	4440
P0A544901	2694.21
P0A544907	4565
P0A545000	3996
P0A546606	16551
P0A546607	8898.537
P0A546609	8852.92
P0A546700	7664
P0A546701	1713.53
P0A547700	8078
P0A547701	2482.05
P0A547900	2491
P0A547901	885.512
P0A549900	2935
P0A549901	663.18
P0A549903	2446
P0A550101	9340
P0A550200	740
P0A550201	1282
P0A550600	1011
P0A551000	4159
P0A551002	4284
P0A552500	33185
P0A552501	32305
P0A552504	32306
P0A552505	32303
P0A552506	32307
P0A552507	32307
P0A552600	21092
P0A552700	7619
P0A552706	3358
P0A552729	6694
P0A552800	1243
P0A553607	28437
P0A553700	19351
P0A553800	19510
P0A553900	30341
P0A554000	23264
P0A554100	5558
P0A554200	2322
P0A554905	8173.338
P0A554907	8189.033
P0A554918	13707
P0A555000	3330
P0A555001	1096.65
P0A555100	1434
P0A555101	207.69
P0A556000	1553
P0A556401	1963.75
P0A557400	15456
P0A557401	3968.615
P0A557404	19469
P0A557406	16864
P0A557407	3979.892
P0A557408	19469
P0A557409	3972.714
P0A557410	16918
P0A557412	19209
P0A557500	16963
P0A557600	8548
P0A557602	9530
P0A557603	5896.412
P0A557700	7337
P0A557701	2886.2
P0A557702	5586
P0A557802	15436
P0A557803	5395.837
P0A545100	5238
P0A545203	2386
P0A545900	2151
P0A546000	2017
P0A546001	787.021
P0A546002	695.516
P0A546401	19427
P0A546601	7912.46
P0A546604	15402
P0A547903	2268
P0A547904	1835
P0A547908	1883
P0A548400	11552
P0A548401	14814
P0A549300	12630
P0A549600	4012
P0A549700	964
P0A549800	4479
P0A551004	2580
P0A551005	1476.216
P0A551200	3491
P0A551201	3535
P0A551301	7538.401
P0A551600	9701
P0A551801	3854
P0A552100	3841
P0A552200	3370
P0A552715	3853.903
P0A552716	7976
P0A552721	15084
P0A552722	3050
P0A552723	2880
P0A552724	9413
P0A552726	3091
P0A552727	2758
P0A552728	2603
P0A554300	5681
P0A554500	11071
P0A554803	5116.69
P0A554808	22714
P0A554809	37476
P0A554812	17353
P0A554900	12264
P0A554901	7457.183
P0A554904	15309
P0A556601	1716.51
P0A556900	12620
P0A556901	3697.26
P0A557000	3343
P0A557200	4752
P0A557202	5733
P0A557203	3229.763
P0A557300	12972
P0A557301	11380.63
P0A557416	16674
P0A557417	4608.782
P0A557420	18896
P0A557422	19448
P0A557424	19299
P0A557428	4482
P0A557432	19447
P0A557434	18990
P0A557436	19078
P0A557804	15203
P0A557806	13842
P0A557807	5287.521
P0A557900	11711
P0A557901	5887.129
P0A557902	6924
P0A558100	22057
P0A558102	14597
P0A558103	15127.831
P0A558200	1663
P0A559400	11078
P0A559700	5963
P0A559705	1310
P0A559706	3566
P0A559707	7526
P0A560000	11316
P0A560001	4785.38
P0A560002	5840
P0A560702	5839
P0A560904	6260
P0A561000	17043
P0A561001	12611.713
P0A561004	19791
P0A561006	18343
P0A561008	29835
P0A561010	20895
P0A561200	8726
P0A562800	4073
P0A563000	4672
P0A563001	8323
P0A564607	1785
P0A564700	16084
P0A564701	7332.55
P0A564704	26609
P0A564800	6610
P0A564802	2624
P0A565906	2861
P0A565907	819.527
P0A565908	2768
P0A565909	958.515
P0A565910	2533
P0A565911	840.278
P0A565912	2543
P0A565914	3868
P0A565916	2609
P0A568306	15422
P0A568308	14562
P0A568309	9561.307
P0A568310	21875
P0A568312	25289
P0A568314	18631
P0A568600	12225
P0A568602	10227
P0A568802	13658
P0A571200	1714
P0A571201	766.892
P0A571403	4517
P0A572000	2216
P0A572001	2226
P0A572002	2230
P0A572003	2236
P0A572100	3450
P0A572200	14492
P0A573503	6036.884
P0A573504	10180
P0A573505	6522.673
P0A573506	16071
P0A573507	6472.366
P0A573508	22444
P0A573510	27341
P0A573602	10049
P0A573604	11071
P0A575000	22803
P0A575400	13316
P0A575500	24445
P0A575800	7166
P0A575801	7108
P0A576400	14510
P0A576900	14871
P0A577002	22398
P0A577003	22453
P0A578000	5999
P0A578200	4669
P0A578300	645
P0A578400	34356
P0A578402	42358
P0A579000	1896
P0A579100	31197
P0A579101	35254
P0A580800	23174
P0A580801	22578
P0A581000	6675
P0A582104	1315
P0A583300	1581
P0A583900	4751
P0A584000	2447
P0A584700	3038
P0A584900	1759
P0A584901	751.931
P0A588000	20228
P0A588801	12227
P0A588900	6597
P0A589101	1718.8
P0A589200	8690
P0A589400	13916
P0A589700	4174
P0A589900	5921
P0A589902	6233
P0A590700	7654
P0A590701	6839
P0A590702	3338
P0A590703	3622
P0A590704	3143
P0A590705	6793
P0A590900	16774
P0A591000	28655
P0A591100	20538
P0A592702	1760
P0A592703	716.602
P0A593200	32298
P0A593700	728
P0A593701	501
P0A594000	2748
P0A594600	2951
P0A594601	2228.486
P0A595201	19140
P0A597300	1225
P0A597400	2860
P0A597500	13128
P0A597600	6053
P0A598000	40270
P0A598100	32250
P0A598800	13946
P0A598802	10228
P0A598803	8857.296
P0A601705	5715
P0A601712	6910
P0A601714	10357
P0A601715	11941
P0A601716	25686
P0A601720	3494
P0A601900	10968
P0A601904	11295
P0A601905	9456.213
P0A602303	22984
P0A602801	24314.595
P0A602900	26415
P0A602903	39174
P0A603000	3409
P0A603100	24863
P0A603200	29828
P0A603300	6811
P0A603400	28173
P0A604502	3736
P0A604503	2689.808
P0A604504	3342
P0A604700	1128
P0A604701	809.335
P0A604702	1128
P0A604900	936
P0A604901	700.173
P0A605000	19138
P0A585100	7923
P0A585800	2087
P0A585801	994.195
P0A585802	1696
P0A586102	4574
P0A586300	9488
P0A586800	5407
P0A586900	12533
P0A587300	10348
P0A590000	5030
P0A590100	11679
P0A590200	812
P0A590400	1057
P0A590401	862.432
P0A590500	1986
P0A590600	18880
P0A590601	14631
P0A590602	18657
P0A591600	2607
P0A591602	2609
P0A591800	26261
P0A592100	2809
P0A592102	4085
P0A592202	12310
P0A592302	2386
P0A592502	35889
P0A592602	6602
P0A595400	8675
P0A595900	21627
P0A596400	46098
P0A596900	22377
P0A596901	25862
P0A596902	17707
P0A597000	13713
P0A597200	2597
P0A597201	4842
P0A599200	18345
P0A599700	1981
P0A601400	4897
P0A601402	3129
P0A601403	3110
P0A601404	4897
P0A601405	4365
P0A601701	4520
P0A601704	3947
P0A602002	9917
P0A602003	5964.518
P0A602004	8183
P0A602005	5976.401
P0A602102	2067
P0A602200	3856
P0A602300	13805
P0A602301	5982.483
P0A602302	4827
P0A603500	8791
P0A604100	15258
P0A604200	51783
P0A604300	2258
P0A604400	1495
P0A604401	744.562
P0A604402	1314
P0A604500	3147
P0A604501	2117.012
P0A605100	10860
P0A606000	10706
P0A606100	10431
P0A606200	6746
P0A606700	1297
P0A606900	15175
P0A607000	10572
P0A607102	2938
P0A607103	4026.179
P0A607105	2919
P0A607301	30495
P0A607400	2313
P0A607403	720
P0A608600	1872
P0A608800	4339
P0A608801	3904
P0A609500	1982
P0A609600	22662
P0A611800	2397
P0A612200	30406
P0A612300	9403
P0A612301	15457
P0A612400	4212
P0A612500	59646
P0A612501	64359
P0A612700	1967
P0A612800	3034
P0A615500	18049
P0A616000	10033
P0A616100	6845
P0A616600	2452
P0A617000	19557
P0A617400	16778
P0A618000	2292
P0A618100	11149
P0A618300	26177
P0A620100	5258
P0A620300	5089
P0A621800	1774
P0A621900	4126
P0A622000	2135
P0A622200	2566
P0A622502	8860
P0A622600	8675
P0A622800	14632
P0A624101	23829.109
P0A624200	4453
P0A624400	6935
P0A624601	3633.282
P0A624602	7865
P0A625500	26622
P0A625600	6780
P0A625700	3646
P0A625800	3441
P0A626604	3212
P0A626700	27080
P0A626800	26565
P0A627600	7709
P0A627700	10752
P0A627800	20872
P0A627900	4113
P0A629500	10305
P0A629600	57357
P0E001300	200
P0E003900	1300
P0E018300	200
P0E019000	378
P0E022300	1090
P0E027300	920
P0E070700	932
P0E070900	890
PZA112600	3023
PZYA1575000	2319
PZYA1650100	27069
PZYA1650102	40186
PZYA1650103	40186
PZYA1650200	30592
PZYA1655100	11371
PZYA1664100	15782
PZYA1700000	32425
PZYA1700001	28718
P0A609700	35406
P0A609800	17992
P0A609900	4381
P0A611100	5251
P0A611400	797
P0A611500	15423
P0A611600	16275
P0A611602	16072
P0A611700	4267
P0A612900	1718
P0A613100	2857
P0A614400	57985
P0A614500	42283
P0A614600	43254
P0A614700	16473
P0A614903	3149.088
P0A615000	3734
P0A615204	29476
P0A618400	6761
P0A618401	13861
P0A618402	13864
P0A618500	6075
P0A618601	12655
P0A618900	3485
P0A619300	20017
P0A619800	33233
P0A620000	5724
P0A622801	13068
P0A623000	1326
P0A623200	3749
P0A623201	4412
P0A623202	4027
P0A623203	4148
P0A623300	1515
P0A623301	1477
P0A624100	23836
P0A625900	3175
P0A626000	3441
P0A626400	13709
P0A626404	13867
P0A626405	18067
P0A626500	3672
P0A626502	1941
P0A626506	3291
P0A626510	3488
P0A630300	5365
P0A630400	10352
P0A632300	17817
P0A632400	4970
P0A632401	1319.161
P0A634101	12105
P0A634700	9646
P0A634800	10723
P0A634900	3042
PZA142701	19761
PZA142702	19294
PZA177200	2678
PZA196100	1415
PZA197600	1955
PZYA1439015	1465
PZYA1472001	9992
PZYA1473001	6328
PZYA1492000	3436
PZYA1701000	12109
PZYA1701001	10802
PZYA1701002	11970
PZYA1701003	10663
PZYA1702000	25839
PZYA1703000	4875
PZYA1704001	3684
PZYA1705000	1742
PZYA1705001	2441
PZYA1706000	2750
PZYA1707000	2963
PZYA1707001	3672
PZYA1714007	18604
PZZA0024308	36888
PZZA0048103	15834
PZZA0048104	23807
PZZA0049803	15886
PZZA0050030	35433
PZZA00944P8	71543
PZZA00944P9	44451
PZZA00944Q0	56031
PZZA00944Q1	92919
PZZA00944Q2	92915
PZZA0095603	16988
PZZA0096301	14095
PZZA0102806	25692
PZZA0108632	0
PZZA0108633	0
PZZA0109377	22256
PZZA0109378	7525
PZZA0109379	22391
PZZA0112357	10312
PZZA0112360	7724
PZZA0119326	25878
PZZA0119327	18012
PZZA01280F2	43965
PZZA01280F4	22011
PZZA01280F6	44175
PZZA0170123	18255
PZZA0170124	27264
PZZA0174935	30594
PZZA0174936	41978
PZZA0175239	24386
PZZA0175240	24458
PZZA0175303	10586
PZZA0177489	10148
PZZA0177803	18135
PZZA0220221	12471
PZZA02228C1	33091
PZZA02228C2	18613
PZZA02228C3	18605
PZZA02228C6	36376
PZZA02228C7	18597
PZZA02228C8	35237
PZZA02228C9	15451
PZZA02228D0	35047
PZZA02228E0	28433
PZZA02228E1	35276
PZZA02228E2	35102
PZZA02228E3	32111
PZZA02228E4	35241
PZZA02228E6	35230
PZZA02228E8	35147
PZZA02228E9	36372
PZZA02228F0	36354
PZZA0259604	1888
PZZA0259906	2419
PZZA0263628	21874
PZZA0264103	7277
PZZA0265812	19408
PZZA0265813	19417
PZZA0265908	22949
PZZA0279009	2867
PZZA0279860	23651
PZZA0297636	5886
PZZA0297637	5880
PZZA0297638	5872
PZZA0297639	5890
PZZA0297641	18362
PZZA0306601	5407
PZZA0308103	4053
PZZA0308707	9205
PZZA0308708	10087
PZZA0051306	3263
PZZA0051307	3314
PZZA0055901	5831
PZZA0059215	11839
PZZA0060711	33589
PZZA0061701	11712
PZZA0062104	21339
PZZA0062204	17457
PZZA0062205	17457
PZZA00944P7	45068
PZZA0108634	68911
PZZA0109369	22473
PZZA0109370	22112
PZZA0109371	22059
PZZA0109372	22058
PZZA0109373	21407
PZZA0109374	21134
PZZA0109375	21125
PZZA0109376	22605
PZZA01280F7	25533
PZZA01280F8	43809
PZZA01280F9	45114
PZZA01280G0	45319
PZZA01280G3	44133
PZZA01280G4	45165
PZZA01280G5	45173
PZZA01280G6	45159
PZZA01280G7	44259
PZZA01280G8	25533
PZZA0197623	1491
PZZA0197624	1450
PZZA0210504	3483
PZZA0219610	2030
PZZA0219612	2140
PZZA0220216	3958
PZZA0220217	3312
PZZA0220218	9358
PZZA0220219	9397
PZZA0220220	1326
PZZA02228D1	18597
PZZA02228D2	12187
PZZA02228D3	12196
PZZA02228D4	12500
PZZA02228D5	35407
PZZA02228D6	18600
PZZA02228D7	35148
PZZA02228D8	15200
PZZA02228D9	35146
PZZA02228F1	33099
PZZA02228F7	33570
PZZA02228F8	14961
PZZA0227807	22432
PZZA0227808	22439
PZZA0227809	27042
PZZA0230805	7085
PZZA0245509	2323
PZZA0246203	9031
PZZA0279861	29435
PZZA0279863	26610
PZZA0279928	15000
PZZA0286424	35871
PZZA0286425	29157
PZZA0286426	39713
PZZA0293169	57418
PZZA0293170	57449
PZZA0297635	5885
PZZA0310804	42184
PZZA0321902	1329
PZZA0321903	500
PZZA0327907	5756
PZZA0327908	8876
PZZA0327909	8916
PZZA0336208	3524
PZZA0336209	2685.185
PZZA0336303	1543.982
PZZA0336608	1114
PZZA0336609	939.815
PZZA0336708	533.655
PZZA0336709	533.655
PZZA0338905	2570.614
PZZA0338906	4266
PZZA0338907	4870
PZZA0342909	9201
PZZA0342910	8053
PZZA0357138	57760
PZZA0357139	62500
PZZA0357140	54507
PZZA0357142	64016
PZZA0357143	51146
PZZA0360014	13495
PZZA0360202	13981
PZZA0360501	5510
PZZA0360503	10263
PZZA0387522	59478
PZZA0387523	0
PZZA0387524	59832
PZZA0387525	55122
PZZA0392715	2362
PZZA0394101	4120
PZZA0397223	8161
PZZA0397224	9089
PZZA0397225	17481
PZZA0397310	26289
PZZA0397312	36111
PZZA0435654	8166
PZZA0435656	12526
PZZA0435657	12511
PZZA0436013	3193
PZZA0436014	1692
PZZA0436015	6312
PZZA0440926	52632
PZZA0446103	6919
PZZA0448103	13818
PZZA0454918	4708
PZZA0455004	3165
PZZA0455702	2768
PZZA0460551	4462
PZZA0460552	12680
PZZA0460553	12680
PZZA0460554	12684
PZZA04648E4	8167
PZZA04648E5	9909
PZZA04648E7	8200
PZZA04648E9	9278
PZZA04648F0	10666
PZZA0466129	16076
PZZA0466130	9090
PZZA0466131	12193
PZZA0466132	12765
PZZA0466133	9036
PZZA0471504	2210
PZZA0473103	43968
PZZA0474004	4819
PZZA0474005	3430
PZZA0474107	3966
PZZA0474108	3109
PZZA0474109	2562
PZZA0474110	2748
PZZA0481916	12242
PZZA0494218	5168
PZZA0496107	14630
PZZA0496108	14823
PZZA0498101	13394
PZZA0498407	2510.53
PZZA0498408	4797
PZZA0498409	4454
PZZA0498410	4641
PZZA0501210	1062
PZZA0344829	34211
PZZA0344830	25106.482
PZZA0344906	9723
PZZA0344907	5370.371
PZZA0347016	12848
PZZA0353004	4336
PZZA0357135	63390
PZZA0357136	23617
PZZA0357137	61958
PZZA0360504	9948
PZZA0367506	2972
PZZA0367603	1501
PZZA0367604	2200
PZZA0367605	1547
PZZA0387518	60955
PZZA0387519	55123
PZZA0387520	55127
PZZA0387521	61453
PZZA0397227	9089
PZZA0397230	3840
PZZA0397231	54127
PZZA0397233	54909
PZZA0397234	6024
PZZA0397235	57797
PZZA0397236	58401
PZZA0397237	61010
PZZA0397238	57817
PZZA0440927	46024
PZZA0440928	53677
PZZA0440929	55096
PZZA0440930	55111
PZZA0441013	5369
PZZA0441014	5074
PZZA0442001	1285.602
PZZA0444606	22199
PZZA0445823	33007
PZZA0460555	12545
PZZA0460556	0
PZZA0460557	12688
PZZA0461006	1631
PZZA04648D7	8965
PZZA04648D8	9932
PZZA04648E1	10237
PZZA04648E2	4482.835
PZZA04648E3	3385
PZZA0466134	14654
PZZA0466135	16442
PZZA0466136	16439
PZZA0466137	17709
PZZA0466138	17384
PZZA0467501	6981
PZZA0471202	4602
PZZA0471203	4579
PZZA0471503	2144
PZZA0481917	1983.686
PZZA0481918	2209.075
PZZA0481921	3834
PZZA0481922	3839
PZZA0490905	4899
PZZA0490906	5383
PZZA0491203	1122
PZZA0491715	2169.503
PZZA0494217	6911
PZZA0501211	1271
PZZA0504704	3581
PZZA0504705	3753
PZZA0505144	32383
PZZA0505145	49466
PZZA0506003	3217
PZZA0506004	3896
PZZA0506005	5105
PZZA0506006	3896
PZZA0506509	26085
PZZA0506510	28371
PZZA0506512	28144
PZZA0506513	24810
PZZA0506514	21520
PZZA0506515	25519
PZZA0506516	25506
PZZA0506517	25696
PZZA0506518	24446
PZZA0506528	30165
PZZA0506529	28143
PZZA0506530	25062
PZZA0506531	29497
PZZA0506532	26813
PZZA0506533	33482
PZZA0506534	26331
PZZA0506535	28278
PZZA0506536	30895
PZZA0507552	113265
PZZA0507553	107164
PZZA0507554	96721
PZZA0507555	105587
PZZA0507556	93249
PZZA0507616	118184
PZZA0507617	99891
PZZA0507621	101505
PZZA0507622	89006
PZZA0507706	18161
PZZA0508110	6453
PZZA0508111	6021
PZZA0509802	1924
PZZA0512002	3453
PZZA0512101	6624
PZZA0512813	4995
PZZA0512814	6638
PZZA0512815	4992
PZZA0525207	2456
PZZA0525208	2753
PZZA0525408	2191
PZZA0525409	2236
PZZA0525601	1808
PZZA0526105	3399
PZZA0527901	4329
PZZA0530103	32117
PZZA0530104	50393
PZZA0530209	50759
PZZA0530210	50492
PZZA0530212	50492
PZZA0530213	46457
PZZA0530214	47874
PZZA0530215	46705
PZZA0530216	47238
PZZA0530217	38216
PZZA0530219	47854
PZZA0530901	8101
PZZA0531001	5984
PZZA0532016	24697
PZZA0532017	25486
PZZA0532018	12456
PZZA0532019	12038
PZZA0532020	23257
PZZA0532021	23998
PZZA0532022	12452
PZZA0532032	12034
PZZA0532033	12454
PZZA0532034	12454
PZZA0532036	12452
PZZA0532037	9873
PZZA0532038	12444
PZZA0532039	12446
PZZA0532040	26983
PZZA0532041	9898
PZZA0532042	26987
PZZA0532043	24586
PZZA0532044	24386
PZZA0532045	12488
PZZA0532046	24848
PZZA0532047	21352
PZZA0532048	17947
PZZA0532049	8485
PZZA0532050	11076
PZZA0532051	8493
PZZA0532052	21158
PZZA0532053	11077
PZZA0532054	8498
PZZA0532055	22522
PZZA0532056	21169
PZZA0532057	21966
PZZA0532058	21432
PZZA0532059	22388
PZZA0532071	9904
PZZA0532072	26992
PZZA0532073	9911
PZZA0532074	27013
PZZA0532075	12493
PZZA0532076	27198
PZZA0532077	21046
PZZA0532078	29963
PZZA0532079	9921
PZZA0532089	9854
PZZA0532090	9904
PZZA0532091	25324
PZZA0532092	24071
PZZA0532093	9923
PZZA0532094	27546
PZZA0532095	25276
PZZA0532096	30391
PZZA0532097	9921
PZZA05320A7	23774
PZZA05320A8	9903
PZZA05320A9	9928
PZZA05320B0	9954
PZZA05320B3	8489
PZZA05320B4	12448
PZZA05320B5	9874
PZZA05320B6	9874
PZZA05320B7	25559
PZZA05320C9	22105
PZZA05320D0	25293
PZZA05320D1	24277
PZZA05320D2	23984
PZZA05320D3	24394
PZZA05320D4	24604
PZZA05320D5	25282
PZZA05320D6	21959
PZZA05320D7	25541
PZZA05320E7	24936
PZZA05320E8	22409
PZZA05320E9	25000
PZZA05320F0	22413
PZZA05320F1	23976
PZZA05320F2	25011
PZZA05320F3	25333
PZZA05320F4	20937
PZZA05320F5	21008
PZZA05320G6	24017
PZZA05320G7	19959
PZZA05320G8	29277
PZZA05320H0	31295
PZZA0533904	15387
PZZA0534005	22046
PZZA0534101	12632
PZZA0535805	1130
PZZA0535806	1130
PZZA0537302	27083
PZZA0537405	11069
PZZA0537406	11042
PZZA0537407	12359
PZZA0537408	11054
PZZA0537409	11054
PZZA0537410	11080
PZZA0537411	13690
PZZA0537603	86237
PZZA0537627	86384
PZZA0537628	85716
PZZA0537706	20848
PZZA0537708	9055
PZZA0537709	8868
PZZA0537710	21797
PZZA0537711	18637
PZZA0537712	8862
PZZA0537713	7740
PZZA0537714	18745
PZZA0537715	18322
PZZA0537716	18288
PZZA0537717	18355
PZZA0537718	18631
PZZA0537719	23512
PZZA0538402	1693
PZZA0539306	31846
PZZA0539407	5263.5
PZZA0544013	123398
PZZA0544015	123124
PZZA0544832	7152
PZZA0545204	4204
PZZA0545205	4558
PZZA0546003	1320
PZZA0546404	23339
PZZA0546611	44323
PZZA0546612	45514
PZZA0552511	32306
PZZA0552512	32319
PZZA0552739	3350
PZZA0552741	6063
PZZA0552742	4421.755
PZZA0552745	4698
PZZA0553623	27421
PZZA0553627	28297
PZZA0553901	37238.72
PZZA0554506	6864
PZZA0554508	8946
PZZA0554509	13575
PZZA0554510	13137
PZZA0554511	11055
PZZA0554512	11070
PZZA0554813	10171.171
PZZA0554819	21765
PZZA0554928	10887
PZZA0557310	19750
PZZA0557312	9029
PZZA0557326	19748
PZZA0557438	4486
PZZA0557440	3561
PZZA0557442	19210
PZZA0557444	19408
PZZA0557446	19476
PZZA0557448	3085
PZZA0557502	15983
PZZA0557810	28018
PZZA0559408	12570
PZZA0559410	14819
PZZA0559709	5152.6
PZZA0560008	7673.88
PZZA0560107	6445
PZZA0560108	11667
PZZA0560410	9759
PZZA0562702	619.865
PZZA0563006	2404.239
PZZA0563007	7360
PZZA0564706	28024
PZZA0565922	3342
PZZA0568608	9911.617
PZZA0568609	10729.565
PZZA0569408	6256.515
PZZA0569409	9432.033
PZZA0574605	2323
PZZA0576901	3490.833
PZZA0577004	8951.331
PZZA0578003	4025.062
PZZA0578004	10391
PZZA0578201	4028.635
PZZA0578301	539.27
PZZA0584902	2110
PZZA0585804	1790
PZZA0539408	7116
PZZA0539409	5950
PZZA0540705	3105
PZZA0542706	26411
PZZA0542710	26172
PZZA0542712	15000
PZZA0542713	7000
PZZA0542714	25942
PZZA0544008	124265
PZZA0546703	2852.546
PZZA0547911	1766
PZZA0548203	7870
PZZA0549906	1430.237
PZZA0549910	1612
PZZA0550202	1427
PZZA0552508	31865
PZZA0552509	31867
PZZA0552510	32306
PZZA0554101	2707.736
PZZA0554201	709.9
PZZA0554301	2748.648
PZZA0554302	5682
PZZA0554304	0
PZZA0554501	2734
PZZA0554502	11072
PZZA0554503	6941.15
PZZA0554504	0
PZZA0554505	4787
PZZA0554929	30592
PZZA0554932	11040
PZZA0555103	721.881
PZZA0556903	7497.951
PZZA0556905	8282
PZZA0557005	881.572
PZZA0557302	13083
PZZA0557304	12292
PZZA0557306	12292
PZZA0557452	13983
PZZA0557454	16868
PZZA0557456	16780
PZZA0557460	18823
PZZA0557464	19469
PZZA0557474	17149
PZZA0557478	19186
PZZA0557480	20118
PZZA0557482	19231
PZZA0560504	2721.564
PZZA0560604	4857
PZZA0560706	8970.615
PZZA0560708	7673.88
PZZA0560905	2259.046
PZZA0561012	19971
PZZA0561014	21186
PZZA0561016	29974
PZZA0561017	28907
PZZA0570802	9457
PZZA0572004	1831.554
PZZA0572005	1747.37
PZZA0572006	1799.304
PZZA0572102	2226
PZZA0573512	24781
PZZA0573612	25114
PZZA0574502	10083
PZZA0574604	1000
PZZA0574605	2323
PZZA0576901	3490.833
PZZA0586301	6295
PZZA0587301	7589
PZZA0588001	20236
PZZA0588204	46189
PZZA0588205	53412
PZZA0588802	12259
PZZA0588904	7430
PZZA0588905	14246
PZZA0589904	11978
PZZA0589905	12401
PZZA0589906	12401
PZZA0590002	12374
PZZA0590003	12160
PZZA0590501	1336.323
PZZA0590711	2672.742
PZZA0590715	2124
PZZA0590716	7678
PZZA0592203	20047
PZZA0592506	30925
PZZA0592705	1920
PZZA0595202	39766
PZZA0595203	20142
PZZA0595901	14437
PZZA0595902	8867
PZZA0596903	8709
PZZA0596904	8883
PZZA0596905	8920
PZZA0602704	592
PZZA0602705	266
PZZA0602706	292
PZZA0602707	461
PZZA0602708	359
PZZA0602905	37514
PZZA0602906	33754
PZZA0604101	14818
PZZA0604404	1204
PZZA0604509	2472
PZZA0604902	1282
PZZA0604904	1297
PZZA0604906	1573
PZZA0605006	13511
PZZA0605010	28433
PZZA0605102	13421
PZZA0605104	12898
PZZA0605108	12859
PZZA0607014	9974
PZZA0607015	2780
PZZA0607017	9192
PZZA0607018	4987
PZZA0607019	4984
PZZA0607020	10436
PZZA0607021	10236
PZZA0607022	9192
PZZA0607023	6421
PZZA0608802	4009
PZZA0608803	4504
PZZA0609601	21406
PZZA0609602	38475
PZZA0609603	22674
PZZA0609701	36381
PZZA0609702	30489
PZZA0609703	21925
PZZA0609704	27098
PZZA0616003	21886
PZZA0616102	5936
PZZA0616801	21555
PZZA0617003	9112
PZZA0618001	1885
PZZA0618003	899
PZZA0618301	17521.8
PZZA0618303	21915
PZZA0618304	22964
PZZA0618412	13871
PZZA0618413	13902
PZZA0618414	13869
PZZA0618415	13871
PZZA0618416	13871
PZZA0618417	13871
PZZA0618418	13871
PZZA0618419	13865
PZZA0618420	13865
PZZA0618421	13883
PZZA0618431	13691
PZZA0618432	11195
PZZA0618433	17343
PZZA0618434	14711
PZZA0618435	13694
PZZA0618436	13693
PZZA0618437	13692
PZZA0618438	13863
PZZA0618602	11896
PZZA0619803	35014
PZZA0619804	38758
PZZA0620103	7958
PZZA0620104	8400
PZZA0620302	6352
PZZA0622504	9577
PZZA0622505	12053
PZZA0622601	7100.302
PZZA0622602	13535
PZZA0625603	6787
PZZA0625604	6787
PZZA0625605	6785
PZZA0625606	6575
PZZA0625607	6781
PZZA0626406	15673
PZZA0626407	35887
PZZA0626512	2069
PZZA0626513	1884
PZZA0626802	27840
PZZA0626821	27414
PZZA0627801	7730.649
PZZA0627901	1901.111
PZZA0629904	12656
PZZA0632402	845
PZZA0632403	1311.584
PZZA0632404	2719
PZZA0632405	2678
PZZA0622802	24451
PZZA0622803	8983.503
PZZA0623204	5774
PZZA0623205	5939
PZZA0624102	28211
PZZA0624202	2580
PZZA0624203	5032
PZZA0625601	6785
PZZA0625602	6782
PZZA0626515	1376
PZZA0626605	2136
PZZA0626606	4582
PZZA0626702	26999
PZZA0626703	27072
PZZA0626704	26999
PZZA0626705	27072
PZZA0626706	27072
PZZA0626707	24871
PZZA0632406	4627
PZZA0634901	2610
U00A0072100	101131
