キー	ﾌﾟﾗﾝﾄ	MRP管理者	工場	ライン	ﾈｯﾄﾜｰｸ/指図番号	テキスト	金額（国内通貨）	品目	初期数量	仕掛数	完成数量	初期実績日付	仕掛年齢	CMPL	材料	経費
NW	40145855	P100	C50	滋賀工場	大型５号ライン	C-0309401-40	FVL-150 54ｾﾙ ｵﾘｯｸｽ	11180	A00A1910700	1	1	0	2023年3月	2年6ケ月		11180	0
NW	40149811	P100	CG1	滋賀工場	富士電工 S	C-0316834-10	SKS40TP-100MSP	162135	A00A1955100	1	1	0	2023年6月	2年3ケ月		162135	0
NW	40149812	P100	C50	滋賀工場	大型５号ライン	C-0316834-20	FVL-100-6 54セル/18個 FB	9100	A00A1955200	1	1	0	2025年6月	0年3ケ月		9100	0
HALB	50116482	P100	PC1	PC製造	PC製造	50116482	GK-5279S01 GATE CIRCUIT	10316	PZZA0527901	12	12	0	2024年10月	0年11ケ月		5018	5298
HALB	50116655	P100	PC1	PC製造	PC製造	50116655	WK-5549D U28 DC CTRL_J	353349	PZZA0554928	40	40	0	2025年7月	0年2ケ月		256970	96379
HALB	50116763	P100	PC1	PC製造	PC製造	50116763	PK-4942C U18(13)62368 RC1	86294	PZZA0494218	16	16	0	2024年7月	1年2ケ月		54285	32009
HALB	50116766	P100	PC1	PC製造	PC製造	50116766	PK-6029A U06(02)62368 RC1	709526	PZZA0602906	30	30	0	2024年7月	1年2ケ月		514634	194892
HALB	50118386	P100	PC1	PC製造	PC製造	50118386	MK-5576      HKE-F CPU	877346	P0A557600	120	120	0	2025年5月	0年4ケ月		703937	173409
HALB	50118448	P100	PC1	PC製造	PC製造	50118448	WK-7198B  DDC PCB	185741	P00A0719800	20	20	0	2025年7月	0年2ケ月		133749	52122
HALB	50118616	P100	PC1	PC製造	PC製造	50118616	MK-5128  U06 IN:4-20MA	21854	P0A512806	24	24	0	2025年8月	0年1ケ月		83359	21854
HALB	50118711	P100	PC1	PC製造	PC製造	50118711	WK-5449C    CONTROL PCB	262863	P0A544900	80	80	0	2025年7月	0年2ケ月		194370	68493
HALB	50118790	P100	PC1	PC製造	PC製造	50118790	WK-5594A U08 TRANSTAP	621243	PZZA0559408	100	52	48	2025年2月	0年7ケ月		469881	151362
HALB	50119190	P100	PC1	PC製造	PC製造	50119190	MK-7408B U04 HPR CC-LINK	83305	P00A0740804	18	12	6	2025年7月	0年2ケ月		77765	5540
HALB	50119218	P100	PC1	PC製造	PC製造	50119218	GK-5279S01 GATE CIRCUIT	5835	PZZA0527901	4	4	0	2025年3月	0年6ケ月		1674	4161
HALB	50119367	P100	PC1	PC製造	PC製造	50119367	WK-6116C     CO2 CONTROL	1687382	P0A611600	100	100	0	2025年7月	0年2ケ月		49560	75422
HALB	50119408	P100	PC1	PC製造	PC製造	50119408	GK-4648AS59   0-7.5V/0-5V	29175	P0A464859	3	3	0	2025年7月	0年2ケ月		10855	18320
HALB	50119429	P100	PC1	PC製造	PC製造	50119429	WK-5976A  CO2/MAG MOTOR	543739	P0A597600	100	100	0	2025年6月	0年3ケ月		1553	-63114
HALB	50119556	P100	PC1	PC製造	PC製造	50119556	MK-944SP1 PZA153200 (F)	354703	97K0944P1	5	3	2	2025年5月	0年4ケ月		345214	9489
HALB	50119569	P100	PC1	PC製造	PC製造	50119569	IK-2798B S04  CM400DY-12H	436394	P0A279804	60	40	20	2025年8月	0年1ケ月		409012	70462
HALB	50119577	P100	PC1	PC製造	PC製造	50119577	IK-8009	325577	P00A0800900	236	236	0	2025年8月	0年1ケ月		191251	134326
HALB	50119580	P100	PC1	PC製造	PC製造	50119580	IK-8003 U01	177113	P00A0800301	38	38	0	2025年8月	0年1ケ月		140032	37081
HALB	50119641	P100	PC1	PC製造	PC製造	50119641	MK-2228E    PHASE CONTRL	1081105	P0A222800	100	100	0	2025年7月	0年2ケ月		1013433	67672
HALB	50119687	P100	PC1	PC製造	PC製造	50119687	WK-5972 (F)  ISOAMP	118415	P0A597200	80	80	0	2025年7月	0年2ケ月		84749	33666
HALB	50119704	P100	PC1	PC製造	PC製造	50119704	WK-7201B  DDC	89220	P00A0720100	8	8	0	2025年7月	0年2ケ月		62518	26702
HALB	50119707	P100	PC1	PC製造	PC製造	50119707	WK-7232B KP CONTROL	473253	P00A0723200	47	47	0	2025年7月	0年2ケ月		362252	111001
HALB	50119743	P100	PC1	PC製造	PC製造	50119743	MK-7504 DC CUP	47905	P00A0750400	40	40	0	2025年7月	0年2ケ月		36600	11305
HALB	50119745	P100	PC1	PC製造	PC製造	50119745	WK-7288      PANEL ROHS	86897	P00A0728800	10	10	0	2025年7月	0年2ケ月		51638	35259
HALB	50119746	P100	PC1	PC製造	PC製造	50119746	WK-7287A S_INPOSE RoHS	35524	P00A0728700	10	10	0	2025年7月	0年2ケ月		33088	2436
HALB	50119748	P100	PC1	PC製造	PC製造	50119748	WK-7285B SUPPLY RoHS	75358	P00A0728500	10	10	0	2025年7月	0年2ケ月		59263	16095
HALB	50119763	P100	PC1	PC製造	PC製造	50119763	MK-7890 S06 PR CPU Ro	478862	P00A0789006	20	20	0	2025年8月	0年1ケ月		353122	125740
HALB	50119774	P100	PC1	PC製造	PC製造	50119774	WK-5157B U12 (J) CONTROL	7858	P0A515712	40	2	38	2025年6月	0年3ケ月		11767	-3909
HALB	50119780	P100	PC6	PC製造	ルックス電子	50119780	PK-7469B U02 6.4KW ﾙｯｸｽ	240358	P00A0746902	50	12	38	2025年8月	0年1ケ月		-2	0
HALB	50119783	P100	PC6	PC製造	ルックス電子	50119783	PK-7472  U01 PANEL ﾙｯｸｽ	420379	P00A0747201	70	70	0	2025年8月	0年1ケ月		308662	111842
HALB	50119783	P100	PC6	PC製造	ルックス電子	50119783	PK-7472  U01 PANEL ﾙｯｸｽ	420379	P00A0747201	70	70	0	2025年8月	0年1ケ月		308662	111842
